reach,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_avg,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_avg,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,flow_min,flow_q1,flow_q5,flow_q25,flow_q50,flow_avg,flow_q75,flow_q95,flow_q99,flow_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_avg,rtime_q75,rtime_q95,rtime_q99,rtime_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_avg,velocity_q75,velocity_q95,velocity_q99,velocity_max
1.000,0.065,0.083,0.101,0.126,0.157,0.169,0.196,0.291,0.368,0.567,0.630,0.665,0.702,0.753,0.813,0.838,0.892,1.082,1.235,1.635,1122.917,1656.134,2293.732,3317.332,4736.803,5793.396,6909.083,13571.013,20514.620,45520.625,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.355,0.400,0.440,0.488,0.536,0.544,0.588,0.686,0.748,0.874
10.000,0.006,0.008,0.009,0.012,0.014,0.016,0.018,0.027,0.035,0.056,0.512,0.515,0.519,0.523,0.529,0.531,0.536,0.554,0.569,0.612,22.858,33.948,47.038,68.068,97.204,118.927,141.854,278.558,421.098,935.796,0.003,0.004,0.005,0.007,0.008,0.008,0.009,0.010,0.011,0.013,0.088,0.102,0.116,0.134,0.153,0.159,0.177,0.227,0.264,0.348
100.000,0.080,0.100,0.120,0.147,0.177,0.189,0.216,0.307,0.379,0.572,0.660,0.700,0.740,0.793,0.855,0.878,0.933,1.113,1.258,1.643,71.885,106.565,147.675,213.528,304.912,372.888,444.720,873.398,1320.291,2931.469,0.020,0.025,0.028,0.035,0.039,0.040,0.044,0.051,0.057,0.089,0.013,0.020,0.023,0.026,0.029,0.030,0.033,0.041,0.046,0.058
1000.000,0.033,0.042,0.051,0.064,0.078,0.084,0.097,0.143,0.184,0.357,0.566,0.584,0.602,0.627,0.657,0.669,0.695,0.786,0.868,1.214,131.426,193.803,268.337,388.059,554.136,677.808,808.286,1587.409,2401.139,5320.568,0.004,0.005,0.006,0.007,0.008,0.008,0.009,0.010,0.012,0.013,0.087,0.100,0.111,0.126,0.142,0.146,0.162,0.201,0.221,0.289
1001.000,0.061,0.073,0.085,0.101,0.120,0.126,0.143,0.196,0.239,0.389,0.622,0.646,0.670,0.702,0.739,0.752,0.785,0.892,0.978,1.278,131.423,193.797,268.352,388.056,554.138,677.810,808.293,1587.409,2401.015,5321.097,0.006,0.008,0.009,0.012,0.014,0.014,0.016,0.019,0.022,0.027,0.045,0.054,0.063,0.074,0.087,0.091,0.102,0.135,0.158,0.202
1002.000,0.100,0.125,0.150,0.184,0.222,0.236,0.270,0.379,0.463,0.672,1.200,1.251,1.301,1.368,1.444,1.472,1.540,1.758,1.926,2.343,593.944,877.743,1215.972,1758.878,2511.781,3072.896,3664.229,7196.590,10878.660,24153.533,0.005,0.006,0.007,0.009,0.011,0.011,0.012,0.014,0.016,0.019,0.063,0.072,0.082,0.094,0.108,0.112,0.124,0.160,0.187,0.255
1003.000,0.111,0.135,0.159,0.191,0.228,0.241,0.275,0.379,0.460,0.660,1.222,1.270,1.318,1.383,1.457,1.483,1.549,1.759,1.921,2.320,602.796,890.271,1233.469,1784.026,2547.571,3115.880,3716.770,7299.394,11039.987,24496.371,0.004,0.006,0.007,0.009,0.011,0.011,0.013,0.015,0.017,0.020,0.057,0.068,0.078,0.091,0.106,0.110,0.123,0.162,0.191,0.284
1004.000,0.111,0.135,0.159,0.191,0.227,0.240,0.273,0.377,0.457,0.655,1.222,1.270,1.318,1.382,1.455,1.481,1.547,1.755,1.915,2.309,602.817,890.133,1233.640,1784.010,2547.626,3115.874,3716.691,7299.394,11039.839,24496.227,0.002,0.002,0.003,0.004,0.004,0.004,0.005,0.006,0.006,0.008,0.057,0.068,0.078,0.091,0.106,0.111,0.124,0.163,0.193,0.291
1005.000,0.113,0.137,0.162,0.194,0.232,0.245,0.279,0.385,0.467,0.671,1.225,1.274,1.323,1.389,1.464,1.491,1.558,1.771,1.935,2.341,602.727,890.245,1233.358,1784.020,2547.698,3115.906,3716.666,7299.394,11038.735,24496.834,0.004,0.006,0.007,0.009,0.011,0.011,0.013,0.015,0.017,0.020,0.056,0.066,0.076,0.089,0.104,0.108,0.121,0.159,0.187,0.272
1006.000,0.112,0.137,0.162,0.195,0.233,0.247,0.281,0.388,0.471,0.677,1.225,1.275,1.324,1.391,1.466,1.493,1.562,1.777,1.943,2.355,594.044,877.690,1215.892,1758.956,2512.084,3072.890,3664.451,7196.590,10878.939,24152.912,0.003,0.005,0.005,0.007,0.008,0.008,0.009,0.011,0.013,0.015,0.055,0.065,0.075,0.088,0.102,0.106,0.118,0.155,0.182,0.260
