,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
count,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,1708.0,Catchment
mean,0.07473185011709607,0.09165281030444973,0.10864988290398112,0.13166510538641665,0.15833548009367693,0.19234367681498785,0.27157318501170974,0.3350140515222482,0.5017880562060895,1.1063173302107734,1.1376510538641673,1.1684666276346585,1.2101592505854826,1.2584654566744746,1.3200310304449634,1.4632248243559747,1.5776838407494187,1.8861124121779862,0.17041686182669785,0.19913875878220094,0.2257377049180332,0.25971077283372324,0.2965503512880565,0.34041978922716576,0.4322154566744716,0.4976176814988291,0.6491873536299769,-0.0010187353629977243,0.006189695550351247,0.007020491803278657,0.008839578454332536,0.010110655737704902,0.011521077283372337,0.013240632318501162,0.015000000000000008,0.023165105386416914,Catchment
std,0.05713625267092422,0.06873838876869207,0.08019571340618387,0.09536545327298529,0.11250865948552767,0.1338258082754584,0.18174444332168455,0.2184142209593054,0.3099142134984797,0.8760637821776907,0.879192045359475,0.8831892795508981,0.8892688098757497,0.897100226300975,0.9082615759928132,0.938973868017544,0.9671489367065979,1.0894876725529805,0.17646940584034582,0.20315307458427842,0.22883897697382619,0.26155223090498886,0.29711465684894006,0.3395317289568653,0.429291437237568,0.49435358569502047,0.6432822879270459,0.08381705676278083,0.01949137280267041,0.021704036307219968,0.026193592777157618,0.029355108078128463,0.03281335120216245,0.03692772354647915,0.041098806457226474,0.1647593644630111,Catchment
min,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.004,0.006999999999999999,0.184,0.502,0.502,0.503,0.503,0.504,0.506,0.508,0.514,-0.018000000000000002,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,-1.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Catchment
1%,0.004,0.004070000000000001,0.005070000000000001,0.006999999999999999,0.009000000000000001,0.011000000000000001,0.016,0.021,0.034,0.507,0.509,0.511,0.514,0.517,0.522,0.5329999999999999,0.542,0.568,0.0010700000000000002,0.00807,0.009070000000000002,0.011000000000000001,0.012,0.013000000000000001,0.016,0.019,0.02907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,Catchment
5%,0.008,0.01,0.012,0.015,0.019,0.024,0.036350000000000014,0.048,0.08105000000000002,0.515,0.52,0.525,0.531,0.53835,0.5483499999999999,0.575,0.598,0.66635,0.016,0.022000000000000002,0.025,0.027999999999999997,0.032,0.036000000000000004,0.045,0.05,0.07535,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,Catchment
25%,0.027999999999999997,0.035750000000000004,0.043,0.054000000000000006,0.066,0.083,0.12275000000000001,0.156,0.24475,0.5660000000000001,0.583,0.60075,0.62575,0.65275,0.6920000000000001,0.7809999999999999,0.853,1.04875,0.053,0.063,0.07275,0.084,0.09675,0.11275,0.14300000000000002,0.16475,0.22575,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.004,Catchment
50%,0.06,0.07450000000000001,0.08900000000000001,0.109,0.134,0.16399999999999998,0.23800000000000002,0.2965,0.456,0.7165,0.765,0.8185,0.8835,0.9580000000000001,1.0415,1.1905,1.3155,1.6425,0.1265,0.149,0.16899999999999998,0.1965,0.226,0.26,0.3305,0.37799999999999995,0.49150000000000005,0.002,0.002,0.003,0.004,0.004,0.005,0.006,0.006,0.008,Catchment
75%,0.109,0.13225,0.157,0.18924999999999997,0.226,0.273,0.38325,0.47025,0.6997500000000001,1.219,1.26925,1.3159999999999998,1.382,1.4555,1.555,1.7865000000000002,1.98,2.426,0.21600000000000003,0.254,0.28800000000000003,0.332,0.38025000000000003,0.43925,0.56625,0.6505000000000001,0.8495,0.004,0.006,0.006999999999999999,0.009000000000000001,0.01,0.011000000000000001,0.013000000000000001,0.015,0.018000000000000002,Catchment
95%,0.191,0.23199999999999998,0.2716499999999999,0.3226499999999998,0.3842999999999997,0.46,0.6286499999999998,0.7622999999999998,1.091,4.0489999999999995,4.062,4.0760000000000005,4.0966499999999995,4.12065,4.1516,4.2311999999999985,4.300499999999998,4.532999999999994,0.5006499999999998,0.574,0.649,0.7386499999999999,0.8302999999999996,0.9408499999999989,1.1732499999999992,1.3462499999999995,1.7577999999999956,0.012,0.019649999999999865,0.022649999999999865,0.027999999999999997,0.033,0.037000000000000005,0.043,0.048,0.061,Catchment
