DAY,GRID_NO,HUMIDITY_06H,HUMIDITY_09H,HUMIDITY_12H,HUMIDITY_15H,HUMIDITY_18H,SNOWDEPTH,LATITUDE,LONGITUDE,ALTITUDE,TEMPERATURE_MAX,TEMPERATURE_MIN,TEMPERATURE_AVG,VAPOURPRESSURE,WINDSPEED,PRECIPITATION,E0,ES0,ET0,RADIATION,SUNSHINE_CALC,YEAR,MONTH
18,101096,,,,,,,50.72749,5.27314,128,21.3,10.3,15.8,13.57,2.5,0.3,4.34,3.8,3.46,20935,8.89081500699182,1975,05
19,101096,,,,,,,50.72749,5.27314,128,14.9,8.5,11.7,11.26,1.7,0,1.71,1.51,1.64,8572,0,1975,05
20,101096,,,,,,,50.72749,5.27314,128,18.6,5.7,12.2,10.19,2.7,0,4.52,3.89,3.79,26587,13.2748696658922,1975,05
21,101096,,,,,,,50.72749,5.27314,128,18.2,6.7,12.5,9.93,3.1,0,3.97,3.48,3.34,20467,8.3922689963613,1975,05
22,101096,,,,,,,50.72749,5.27314,128,14.8,4.3,9.6,7.42,3.4,0,4.16,3.65,3.4,22949,10.3118576692593,1975,05
23,101096,,,,,,,50.72749,5.27314,128,12.4,2.2,7.3,7.29,2.7,0,2.8,2.48,2.27,15054,4.04720988297196,1975,05
24,101096,,,,,,,50.72749,5.27314,128,12.6,4.7,8.7,7.75,2,0,2.64,2.36,2.13,12826,2.26032186781383,1975,05
25,101096,,,,,,,50.72749,5.27314,128,17.4,3.8,10.6,8.72,3.2,0,3.11,2.79,2.74,13835,3.02511662204739,1975,05
26,101096,,,,,,,50.72749,5.27314,128,18.6,7.7,13.2,9.89,4.4,0,4.34,3.89,3.55,18537,6.69282390733976,1975,05
27,101096,,,,,,,50.72749,5.27314,128,19,9.3,14.2,11.5,3.6,0,3.17,2.89,2.64,11375,1.03650786076689,1975,05
28,101096,,,,,,,50.72749,5.27314,128,22.1,10.8,16.5,11.93,2.9,0,4.75,4.15,4.21,22671,9.87717344034549,1975,05
29,101096,,,,,,,50.72749,5.27314,128,21,7.5,14.3,11.36,3.5,0,4.7,4.16,3.78,21746,9.12121588394944,1975,05
30,101096,,,,,,,50.72749,5.27314,128,14.7,6.7,10.7,8.52,2.8,0,2.72,2.48,2.32,10694,0.431323872900034,1975,05
31,101096,,,,,,,50.72749,5.27314,128,13.4,4,8.7,7.32,3,0,3.67,3.22,3,20701,8.24717828748084,1975,05
01,101096,,,,,,,50.72749,5.27314,128,13.5,1.8,7.7,7.82,1.9,0,2.86,2.5,2.38,17504,5.71974576643183,1975,06
02,101096,,,,,,,50.72749,5.27314,128,13.6,3.8,8.7,8.46,6.1,0.4,3.5,3.14,2.63,16671,5.04577638444727,1975,06
03,101096,,,,,,,50.72749,5.27314,128,12.1,4.7,8.4,8.82,5.2,6,2.11,1.92,1.73,9005,0,1975,06
04,101096,,,,,,,50.72749,5.27314,128,12.8,5.3,9.1,9.02,2.4,3.4,2.69,2.35,2.22,15327,3.95521615062983,1975,06
05,101096,,,,,,,50.72749,5.27314,128,18,4.5,11.3,8.19,2,5.1,4.28,3.75,3.52,22961,9.90036003053864,1975,06
06,101096,,,,,,,50.72749,5.27314,128,21.7,10.8,16.3,10.16,2.4,0,5.04,4.4,4.44,24846,11.3530734880121,1975,06
07,101096,,,,,,,50.72749,5.27314,128,23.5,10.2,16.9,9.99,2.5,0,5.59,4.86,4.99,27645,13.519492509982,1975,06
08,101096,,,,,,,50.72749,5.27314,128,23.6,9.3,16.5,9.36,3,0,5.58,4.88,5.06,26674,12.7443793409218,1975,06
09,101096,,,,,,,50.72749,5.27314,128,23.7,9.8,16.8,11.56,3.4,0,5.62,4.91,4.92,26695,12.7450071947349,1975,06
10,101096,,,,,,,50.72749,5.27314,128,24.4,12.3,18.4,15.51,3.5,0,4.66,4.13,3.91,19920,7.44744325317798,1975,06
11,101096,,,,,,,50.72749,5.27314,128,25,14.8,19.9,16.38,3.9,0.1,5.22,4.63,4.35,21028,8.29965774808437,1975,06
12,101096,,,,,,,50.72749,5.27314,128,26.6,13.2,19.9,15.11,2.6,0,5.67,4.95,5.02,25749,11.9691586403137,1975,06
13,101096,,,,,,,50.72749,5.27314,128,27.1,14,20.6,13.87,2.4,0,5.73,5.02,5.14,25115,11.4652461178753,1975,06
14,101096,,,,,,,50.72749,5.27314,128,25.7,12.9,19.3,16.24,2.5,0,4.78,4.26,3.92,19069,6.74539970840229,1975,06
15,101096,,,,,,,50.72749,5.27314,128,22.3,13.2,17.8,17.48,2.8,0.2,2.62,2.36,2.17,9558,0,1975,06
16,101096,,,,,,,50.72749,5.27314,128,18.4,8.6,13.5,11.1,2.9,3.8,4.02,3.56,3.3,18837,6.5529203643884,1975,06
17,101096,,,,,,,50.72749,5.27314,128,18.7,10.4,14.6,14.17,2.5,0.1,2.53,2.24,2.13,11258,0.643825366440121,1975,06
18,101096,,,,,,,50.72749,5.27314,128,15.7,10.3,13,13.67,2,4.4,1.75,1.56,1.47,7885,0,1975,06
19,101096,,,,,,,50.72749,5.27314,128,21,9.5,15.3,12.47,1.6,1.9,4.76,4.12,4.03,25265,11.5531320601415,1975,06
20,101096,,,,,,,50.72749,5.27314,128,23.3,11.1,17.2,13.97,2.6,0,4.79,4.21,3.97,21832,8.87810752048699,1975,06
21,101096,,,,,,,50.72749,5.27314,128,21.6,14,17.8,18.11,2.8,0,2.46,2.2,2.09,9840,0,1975,06
22,101096,,,,,,,50.72749,5.27314,128,22.5,15.5,19,20.99,2.6,9.7,1.67,1.49,1.47,6754,0,1975,06
23,101096,,,,,,,50.72749,5.27314,128,20.6,15.8,18.2,19.92,1.5,11.8,2.06,1.83,1.68,8421,0,1975,06
24,101096,,,,,,,50.72749,5.27314,128,20.4,14.9,17.7,19.38,3,0.3,1.37,1.22,1.25,5734,0,1975,06
25,101096,,,,,,,50.72749,5.27314,128,18.9,10.8,14.9,13.07,2.4,9.5,4.68,4.08,3.64,23658,10.3207599450733,1975,06
26,101096,,,,,,,50.72749,5.27314,128,21.9,8.9,15.4,13.34,2.7,0,5.24,4.53,4.33,27763,13.5305930387105,1975,06
27,101096,,,,,,,50.72749,5.27314,128,18.5,12.3,15.4,14,4,0,3.27,2.96,2.53,11725,1.0279921018172,1975,06
28,101096,,,,,,,50.72749,5.27314,128,15.6,9.9,12.8,10.66,2.5,0,2.31,2.11,2.03,8342,0,1975,06
29,101096,,,,,,,50.72749,5.27314,128,16.5,6.8,11.7,11.13,3,0,3.19,2.83,2.45,15316,3.8482791781779,1975,06
30,101096,,,,,,,50.72749,5.27314,128,18.9,9.3,14.1,12.3,3.3,0.6,3.51,3.1,2.98,16551,4.82381044375309,1975,06
01,101096,,,,,,,50.72749,5.27314,128,20.5,6.6,13.6,10.9,2.7,5.5,4.97,4.32,4.12,26334,12.4797035555887,1975,07
02,101096,,,,,,,50.72749,5.27314,128,20.6,9.9,15.3,13.87,2.2,0,3.76,3.33,2.95,16704,4.96970231449483,1975,07
03,101096,,,,,,,50.72749,5.27314,128,24.7,15.1,19.9,17.38,4.1,0,5.26,4.68,4.18,21033,8.36990831223168,1975,07
04,101096,,,,,,,50.72749,5.27314,128,23.3,14.7,19,17.48,4.5,0,4.46,3.98,3.44,17307,5.47264335202205,1975,07
05,101096,,,,,,,50.72749,5.27314,128,22,11.1,16.6,16.04,2.1,22.4,2.83,2.51,2.37,12248,1.53011575290868,1975,07
06,101096,,,,,,,50.72749,5.27314,128,22.5,11.7,17.1,15.54,2.2,3.4,4.56,3.98,3.71,22106,9.26789628667905,1975,07
07,101096,,,,,,,50.72749,5.27314,128,27.3,13.3,20.3,16.84,2.7,0,5.7,4.97,4.95,25836,12.2135189418152,1975,07
08,101096,,,,,,,50.72749,5.27314,128,29.3,16.4,22.9,19.22,2.6,0,5.52,4.88,4.83,22276,9.44729703759091,1975,07
09,101096,,,,,,,50.72749,5.27314,128,26.1,14.8,20.5,18.25,2.6,20,5.18,4.55,4.29,22286,9.48034452740541,1975,07
10,101096,,,,,,,50.72749,5.27314,128,24.4,14.7,19.6,16.48,2.4,0,4.64,4.05,4.04,21062,8.54569845106074,1975,07
11,101096,,,,,,,50.72749,5.27314,128,25.3,15.3,20.3,18.38,2.3,26.8,4.12,3.65,3.39,16762,5.1934388689629,1975,07
12,101096,,,,,,,50.72749,5.27314,128,23,12.9,18,16.24,3,1.3,3.76,3.36,3.07,14864,3.72642110371857,1975,07
13,101096,,,,,,,50.72749,5.27314,128,24.4,16.4,20.4,17.41,2.8,0,4.56,4.06,3.74,17863,6.11323824013755,1975,07
14,101096,,,,,,,50.72749,5.27314,128,29.9,15.9,22.9,19.35,3.3,0,6.09,5.37,5.4,24532,11.3972956754892,1975,07
15,101096,,,,,,,50.72749,5.27314,128,25.6,15.6,20.6,16.71,4.7,0,4.97,4.45,4.45,18705,6.83693466678925,1975,07
16,101096,,,,,,,50.72749,5.27314,128,21.3,13.9,17.6,15.21,3.8,0,3.83,3.44,3.16,14774,3.76583997151073,1975,07
17,101096,,,,,,,50.72749,5.27314,128,22.6,13.9,18.3,16.88,1.9,0,3.48,3.11,2.73,13832,3.05185116919895,1975,07
18,101096,,,,,,,50.72749,5.27314,128,23.3,14.7,19,17.95,2.1,0.3,3.67,3.24,3,15727,4.58201695684958,1975,07
19,101096,,,,,,,50.72749,5.27314,128,22.2,12.2,17.2,16.44,2.5,10.6,3,2.66,2.52,12614,2.14994703067374,1975,07
20,101096,,,,,,,50.72749,5.27314,128,21.2,14.2,17.7,18.78,2.5,7.9,1.91,1.71,1.61,7607,0,1975,07
21,101096,,,,,,,50.72749,5.27314,128,22.1,14.7,18.4,16.24,2.6,1.9,3.52,3.14,2.95,14128,3.41726694136736,1975,07
22,101096,,,,,,,50.72749,5.27314,128,21.7,11,16.4,13.47,3.8,0,4.45,3.94,3.68,19538,7.7545941603064,1975,07
23,101096,,,,,,,50.72749,5.27314,128,24,14.7,19.4,15.47,4,0,4.94,4.42,4.19,19020,7.38508721161594,1975,07
24,101096,,,,,,,50.72749,5.27314,128,21.3,12.3,16.8,13.37,4.3,1.4,4.73,4.18,3.97,20712,8.77799443920361,1975,07
